FieldSize,FailureRate
8,0.9719628829884159
4,0.9737216451477505
2,0.9806193912759599
1,0.9918712137313143
Inf,0.9718525023289344
8,0.8821561489685656
4,0.8882293973617653
2,0.9134332810338239
1,0.9593561678849193
Inf,0.8817805097815243
8,0.7293348949662011
4,0.7404396548663887
2,0.7893284763733602
1,0.8895574065497954
Inf,0.7286581224509274
8,0.5457692920485588
4,0.5600605194778343
2,0.6269895521367373
1,0.7826237714909579
Inf,0.5449112576542108
8,0.3712105610721671
4,0.38573340836277603
2,0.45829758301019907
1,0.6513778705024833
Inf,0.3703517360973302
8,0.23142619707375633
4,0.24382556097721753
2,0.3101348080781694
1,0.51397332769333
Inf,0.23070411885182573
8,0.13348079950373437
4,0.14272474187597806
2,0.19581573645802142
1,0.38634823490307324
Inf,0.13295078677997263
8,0.07185445096914145
4,0.07803124984234289
2,0.11627102269559408
1,0.27830807011326286
Inf,0.07150583519195042
8,0.03638435085267555
4,0.040153586094981875
2,0.0654067571439989
1,0.19330126935010516
Inf,0.036174988028837674
8,0.01744828983005109
4,0.0195784559551615
2,0.03508953273490978
1,0.13020582995762353
Inf,0.017331869541844402
8,0.00797090490224528
4,0.009097962025235051
2,0.018058549488573217
1,0.08550930311595806
Inf,0.007910310298347434
