PerConfig,GenerationIndex,CurrentFragmentIndex,CurrentSequenceNumber,RedundancyUsed,RedundancyMax,Success,Rank,MissedPackets,ReceivedPackets,IsRunning,FirstRowCrc8,LastRowCrc8,PrngStateBefore,PrngStateAfter
0.2,0,23,23,4,60,True,19,4,20,True,124,184,1188080670,3414165203
0.2,1,21,101,2,60,True,19,2,20,True,239,134,369227209,159028224
0.2,2,26,186,7,60,True,19,7,20,True,143,75,117655301,1694089972
0.2,3,27,267,8,60,True,19,8,20,True,28,250,1694089972,1927849080
0.2,4,23,343,4,60,True,19,4,20,True,79,38,1188080670,3414165203
0.2,5,25,425,6,60,True,19,6,20,True,113,181,1215546913,117655301
0.2,6,25,505,6,60,True,19,6,20,True,188,145,1215546913,117655301
0.2,7,22,582,3,60,True,19,3,20,True,198,2,159028224,1188080670
0.2,8,23,663,4,60,True,19,4,20,True,26,222,1188080670,3414165203
0.2,9,27,747,8,60,True,19,8,20,True,137,111,1694089972,1927849080
0.2,10,26,826,7,60,True,19,7,20,True,102,162,117655301,1694089972
0.2,11,26,906,7,60,True,19,7,20,True,245,156,117655301,1694089972
0.2,12,24,984,5,60,True,19,5,20,True,41,71,3414165203,1215546913
0.2,13,22,1062,3,60,True,19,3,20,True,16,212,159028224,1188080670
0.2,14,24,1144,5,60,True,19,5,20,True,221,180,3414165203,1215546913
0.2,15,24,1224,5,60,True,19,5,20,True,227,39,3414165203,1215546913
0.2,16,22,1302,3,60,True,19,3,20,True,176,116,159028224,1188080670
0.2,17,21,1381,2,60,True,19,2,20,True,35,74,369227209,159028224
0.2,18,23,1463,4,60,True,19,4,20,True,67,135,1188080670,3414165203
0.2,19,27,1547,8,60,True,19,8,20,True,208,253,1694089972,1927849080
0.2,20,26,1626,7,60,True,19,7,20,True,72,33,117655301,1694089972
0.2,21,26,1706,7,60,True,19,7,20,True,118,178,117655301,1694089972
0.2,22,22,1782,3,60,True,19,3,20,True,187,93,159028224,1188080670
0.2,23,23,1863,4,60,True,19,4,20,True,10,206,1188080670,3414165203
0.2,24,25,1945,6,60,True,19,6,20,True,214,18,1215546913,117655301
0.2,25,21,2021,2,60,True,19,2,20,True,69,173,369227209,159028224
0.2,26,22,2102,3,60,True,19,3,20,True,164,96,159028224,1188080670
0.2,27,27,2187,8,60,True,19,8,20,True,55,94,1694089972,1927849080
0.2,28,32,2272,13,60,True,19,13,20,True,235,13,3428832667,12750172
0.2,29,26,2346,7,60,True,19,7,20,True,90,158,117655301,1694089972
