,Start,Duration,End
0,29,26,55
1,215,5,220
2,376,6,382
3,524,23,547
4,679,16,695
5,721,10,731
6,738,26,764
7,800,23,823
8,833,18,851
9,875,1,876
10,1146,2,1148
11,1175,14,1189
12,1276,1,1277
13,1322,40,1362
14,1365,12,1377
15,1389,3,1392
16,1416,10,1426
17,1442,51,1493
18,1518,6,1524
19,1578,12,1590
20,1629,11,1640
21,1827,63,1890
22,2038,37,2075
23,2176,11,2187
24,2232,2,2234
25,2306,39,2345
26,2356,21,2377
27,2390,15,2405
28,2422,47,2469
29,2488,33,2521
30,2545,39,2584
31,2873,43,2916
32,3476,4,3480
33,3505,11,3516
34,3661,20,3681
35,3796,6,3802
36,3837,4,3841
37,3868,10,3878
38,3885,4,3889
39,3926,14,3940
40,4069,49,4118
41,4190,5,4195
42,4257,5,4262
43,4424,110,4534
44,4709,44,4753
45,5090,35,5125
46,5257,35,5292
47,5349,8,5357
48,5587,1,5588
49,5600,28,5628
50,5642,3,5645
51,5738,13,5751
52,5920,34,5954
53,6254,8,6262
54,6308,37,6345
55,6418,19,6437
56,6520,1,6521
57,6898,7,6905
58,6910,2,6912
59,7057,5,7062
60,7127,8,7135
61,7211,10,7221
62,7275,16,7291
63,7331,11,7342
64,7384,12,7396
65,7657,40,7697
66,7703,27,7730
67,7772,1,7773
68,7805,15,7820
69,7860,30,7890
70,8029,13,8042
71,8193,12,8205
72,8292,39,8331
73,8338,35,8373
74,8507,11,8518
75,8638,6,8644
76,9280,14,9294
77,9440,6,9446
78,9792,12,9804
79,9834,66,9900
80,10057,4,10061
81,10213,29,10242
82,10317,14,10331
83,10374,5,10379
84,10475,18,10493
85,10528,23,10551
86,10762,6,10768
87,10914,20,10934
88,11002,9,11011
89,11051,6,11057
90,11066,10,11076
91,11079,22,11101
92,11115,31,11146
93,11188,9,11197
94,11289,33,11322
95,11430,3,11433
96,11438,16,11454
97,11526,4,11530
98,11882,3,11885
99,11923,14,11937
100,12006,33,12039
101,12249,43,12292
102,12474,46,12520
103,12578,8,12586
104,12729,36,12765
105,12873,48,12921
106,13003,8,13011
107,13033,1,13034
108,13187,4,13191
109,13195,11,13206
110,13331,110,13441
111,13486,12,13498
112,13631,1,13632
113,14126,29,14155
114,14312,3,14315
115,14355,39,14394
116,14508,21,14529
117,14886,3,14889
118,14952,17,14969
119,15066,13,15079
120,15498,71,15569
121,15571,24,15595
122,15646,16,15662
123,15671,35,15706
124,15733,6,15739
125,15745,37,15782
126,15950,7,15957
127,15978,14,15992
128,16198,15,16213
129,16247,5,16252
130,16349,16,16365
131,16397,6,16403
132,16656,15,16671
133,16887,33,16920
134,16961,6,16967
135,16999,27,17026
136,17098,7,17105
137,17208,25,17233
138,17290,11,17301
139,17321,9,17330
140,17368,17,17385
141,17476,8,17484
142,17568,84,17652
143,17683,62,17745
144,17791,28,17819
145,17957,81,18038
146,18238,62,18300
147,18464,16,18480
148,18549,3,18552
149,18591,5,18596
150,18612,6,18618
151,18687,18,18705
152,18821,14,18835
153,18888,66,18954
154,19055,10,19065
155,19326,3,19329
156,19342,16,19358
157,19437,28,19465
158,19605,3,19608
159,19670,36,19706
160,19742,2,19744
161,19914,22,19936
162,20293,50,20343
163,20429,11,20440
164,20467,10,20477
165,20490,5,20495
166,20523,60,20583
167,20657,3,20660
168,20710,11,20721
169,20886,13,20899
170,20968,4,20972
171,21014,32,21046
172,21054,3,21057
173,21181,17,21198
174,21296,110,21406
175,21409,6,21415
176,21435,34,21469
177,21530,21,21551
178,21577,1,21578
179,21709,12,21721
180,21871,11,21882
181,22107,8,22115
182,22287,15,22302
183,22430,2,22432
184,22662,22,22684
185,22887,6,22893
186,22982,30,23012
187,23032,43,23075
188,23209,2,23211
189,23380,12,23392
190,23613,13,23626
191,23644,9,23653
192,23893,4,23897
193,23901,6,23907
194,23929,10,23939
195,24037,8,24045
196,24116,4,24120
197,24291,1,24292
198,24345,9,24354
199,24435,3,24438
200,24495,16,24511
201,24613,19,24632
202,24787,53,24840
203,25441,3,25444
204,25501,9,25510
205,25563,15,25578
206,25692,15,25707
207,25899,18,25917
208,25918,11,25929
209,25972,6,25978
210,26079,1,26080
211,26088,3,26091
212,26134,63,26197
213,26431,7,26438
214,26547,22,26569
215,26736,88,26824
216,26933,36,26969
217,27031,7,27038
218,27136,18,27154
219,27210,20,27230
220,27243,12,27255
221,27461,4,27465
222,27631,5,27636
223,27684,39,27723
224,27923,46,27969
225,28009,15,28024
226,28421,5,28426
227,28483,2,28485
228,28642,7,28649
229,28668,4,28672
230,28674,19,28693
231,28779,5,28784
232,28827,44,28871
233,28892,9,28901
234,29011,5,29016
235,29148,15,29163
236,29165,4,29169
237,29672,15,29687
238,29701,19,29720
239,29742,3,29745
240,29913,26,29939
241,29996,3,29999
242,30204,11,30215
243,30238,5,30243
244,30461,8,30469
245,30491,1,30492
246,30659,37,30696
247,30707,36,30743
248,30760,3,30763
249,30787,31,30818
250,30860,4,30864
251,31195,12,31207
252,31248,1,31249
253,31405,2,31407
254,31475,9,31484
255,31674,42,31716
256,31745,15,31760
257,31797,18,31815
258,31828,15,31843
259,31947,1,31948
260,31982,58,32040
261,32094,9,32103
262,32131,41,32172
263,32423,13,32436
264,32453,20,32473
265,32537,81,32618
266,32626,26,32652
267,32804,10,32814
268,32847,15,32862
269,32951,75,33026
270,33060,10,33070
271,33086,46,33132
272,33300,12,33312
273,33319,1,33320
274,33367,32,33399
275,33636,19,33655
276,33698,13,33711
277,33855,2,33857
278,33909,5,33914
279,33931,52,33983
280,34002,33,34035
281,34054,41,34095
282,34312,39,34351
283,34472,14,34486
284,34514,20,34534
285,34877,26,34903
286,35040,22,35062
287,35073,38,35111
288,35133,26,35159
289,35546,15,35561
290,35645,1,35646
291,35687,34,35721
292,35753,9,35762
293,35789,40,35829
294,36017,25,36042
295,36112,20,36132
296,36243,50,36293
297,36303,7,36310
298,36364,81,36445
299,36589,67,36656
300,36742,45,36787
301,36795,7,36802
302,37137,32,37169
303,37294,5,37299
304,37408,17,37425
305,37599,29,37628
306,37642,5,37647
307,37671,19,37690
308,37701,6,37707
309,37735,5,37740
310,37818,10,37828
311,37844,14,37858
312,37959,1,37960
313,37995,11,38006
314,38085,11,38096
315,38116,5,38121
316,38155,7,38162
317,38231,2,38233
318,38301,1,38302
319,38392,16,38408
320,38572,13,38585
321,38735,11,38746
322,38762,38,38800
323,39157,39,39196
324,39381,34,39415
325,39590,35,39625
326,39641,6,39647
327,39677,13,39690
328,39726,12,39738
329,39780,4,39784
330,39877,17,39894
331,39910,17,39927
332,40138,11,40149
333,40160,9,40169
334,40201,25,40226
335,40243,14,40257
336,40289,3,40292
337,40938,8,40946
338,40985,6,40991
339,41024,45,41069
340,41082,1,41083
341,41305,33,41338
342,41410,18,41428
343,41615,3,41618
344,41628,4,41632
345,41882,23,41905
346,41994,21,42015
347,42154,8,42162
348,42232,8,42240
349,42253,39,42292
350,42373,5,42378
351,42401,12,42413
352,42504,14,42518
353,42653,10,42663
354,42802,30,42832
355,42922,12,42934
