,Start,Duration,End
0,60,56,116
1,160,20,180
2,190,17,207
3,338,13,351
4,374,22,396
5,423,89,512
6,766,21,787
7,809,61,870
8,924,22,946
9,1029,23,1052
10,1103,9,1112
11,1132,72,1204
12,1381,17,1398
13,1404,18,1422
14,1447,7,1454
15,1460,83,1543
16,1570,47,1617
17,1670,9,1679
18,1723,5,1728
19,1906,207,2113
20,2128,20,2148
21,2311,104,2415
22,2738,19,2757
23,2863,38,2901
24,2953,188,3141
25,3180,5,3185
26,3489,100,3589
27,3626,82,3708
28,3717,34,3751
29,4155,65,4220
30,4329,53,4382
31,4462,117,4579
32,4588,36,4624
33,4796,18,4814
34,4896,7,4903
35,5044,36,5080
36,5126,6,5132
37,5136,59,5195
38,5208,175,5383
39,5415,31,5446
40,5490,137,5627
41,5979,16,5995
42,6105,42,6147
43,6175,13,6188
44,6278,34,6312
45,6438,53,6491
46,6500,1,6501
47,6519,53,6572
48,6604,2,6606
49,6631,50,6681
50,6723,39,6762
51,6835,116,6951
52,7089,33,7122
53,7264,29,7293
54,7386,17,7403
55,7423,99,7522
56,7546,24,7570
57,7625,37,7662
58,7688,27,7715
59,7802,38,7840
60,7891,32,7923
61,7974,152,8126
62,8307,30,8337
63,8590,49,8639
64,8779,182,8961
65,8965,57,9022
66,9039,25,9064
67,9224,30,9254
68,9269,36,9305
69,9387,71,9458
70,9474,64,9538
71,9609,51,9660
72,9690,97,9787
73,9972,13,9985
74,10245,58,10303
75,10304,10,10314
76,10525,27,10552
77,10605,43,10648
78,10655,31,10686
79,10690,134,10824
80,10832,135,10967
81,11060,235,11295
82,11460,48,11508
83,11581,8,11589
84,11713,31,11744
85,11872,21,11893
86,11953,1,11954
87,12115,33,12148
88,12423,10,12433
89,12562,3,12565
90,12598,94,12692
91,12733,138,12871
92,13259,123,13382
93,13652,105,13757
94,13811,21,13832
95,13931,96,14027
96,14131,36,14167
97,14237,217,14454
98,14458,23,14481
99,14505,9,14514
100,15058,24,15082
101,15128,15,15143
102,15226,76,15302
103,15312,46,15358
104,15636,41,15677
105,15934,75,16009
106,16109,17,16126
107,16229,19,16248
108,16263,55,16318
109,16380,23,16403
110,16411,23,16434
111,16467,108,16575
112,16605,20,16625
113,16661,6,16667
114,16867,11,16878
115,16992,20,17012
116,17105,16,17121
117,17598,22,17620
118,17912,58,17970
119,17979,15,17994
120,18008,31,18039
121,18148,32,18180
122,18298,18,18316
123,18354,78,18432
124,18448,36,18484
125,18524,13,18537
126,18558,2,18560
127,18581,132,18713
128,18737,9,18746
129,18755,74,18829
130,18859,72,18931
131,18940,87,19027
132,19043,24,19067
133,19105,13,19118
134,19260,43,19303
135,19380,49,19429
136,19439,13,19452
137,19508,5,19513
138,19847,20,19867
139,19917,50,19967
140,20048,93,20141
141,20168,10,20178
142,20305,12,20317
143,20587,9,20596
144,20625,17,20642
145,20666,10,20676
146,20681,27,20708
147,20710,62,20772
148,20839,67,20906
149,20961,97,21058
150,21069,33,21102
151,21112,89,21201
152,21204,51,21255
153,21358,50,21408
154,21437,55,21492
155,21541,28,21569
156,21622,71,21693
157,21732,231,21963
158,21970,1,21971
159,22088,62,22150
160,22151,131,22282
161,22301,104,22405
162,22416,14,22430
163,22573,123,22696
164,22840,63,22903
165,22950,62,23012
166,23144,85,23229
167,23304,67,23371
168,23431,87,23518
169,23604,170,23774
170,23989,19,24008
171,24110,33,24143
172,24370,165,24535
173,24784,30,24814
174,24817,41,24858
175,25082,193,25275
176,25344,20,25364
177,25701,15,25716
178,25720,99,25819
179,25886,5,25891
180,25952,19,25971
181,26130,6,26136
182,26276,24,26300
183,26306,47,26353
184,26376,68,26444
185,26471,84,26555
186,26609,75,26684
187,26707,29,26736
188,26945,4,26949
189,26953,25,26978
190,26999,101,27100
191,27257,39,27296
192,27447,28,27475
193,27716,1,27717
194,27731,9,27740
195,28076,120,28196
196,28203,8,28211
197,28361,8,28369
198,28654,49,28703
199,28774,17,28791
200,28901,3,28904
201,29054,60,29114
202,29178,23,29201
203,29218,39,29257
204,29262,111,29373
205,29681,45,29726
206,29732,6,29738
207,29929,26,29955
208,30169,50,30219
209,30255,7,30262
210,30316,37,30353
211,30356,68,30424
212,30715,15,30730
213,30991,5,30996
214,31475,31,31506
215,31517,72,31589
216,31857,32,31889
217,31945,128,32073
218,32111,2,32113
219,32323,84,32407
220,32420,21,32441
221,32476,29,32505
222,32580,118,32698
223,32908,17,32925
224,32976,107,33083
225,33603,41,33644
226,33646,188,33834
227,33838,5,33843
228,33988,78,34066
229,34196,6,34202
230,34220,114,34334
231,34338,9,34347
232,34354,48,34402
233,34475,41,34516
234,34531,8,34539
235,34596,33,34629
236,34700,62,34762
237,34878,17,34895
238,35132,72,35204
239,35317,35,35352
240,35423,17,35440
241,35500,13,35513
242,35565,57,35622
243,35764,48,35812
244,35892,87,35979
245,35993,14,36007
246,36135,16,36151
247,36561,101,36662
248,36755,10,36765
249,36808,39,36847
250,36902,180,37082
251,37203,91,37294
252,37296,13,37309
253,37354,198,37552
254,37624,32,37656
255,37773,238,38011
256,38401,68,38469
257,38553,2,38555
258,38665,12,38677
259,38741,66,38807
260,38899,4,38903
261,38958,42,39000
262,39037,66,39103
263,39314,20,39334
264,39468,21,39489
265,39594,44,39638
266,39791,20,39811
267,39828,5,39833
268,40085,59,40144
269,40149,55,40204
270,40314,123,40437
271,40569,32,40601
272,40608,70,40678
273,40710,2,40712
274,40902,85,40987
275,41091,45,41136
276,41220,14,41234
277,41321,6,41327
278,41342,23,41365
279,41393,19,41412
280,41428,42,41470
281,41537,16,41553
282,41942,118,42060
283,42170,5,42175
284,42522,64,42586
285,42602,9,42611
286,42731,3,42734
287,42820,25,42845
288,42861,43,42904
289,42961,8,42969
290,43181,20,43201
291,43301,58,43359
292,43475,3,43478
293,43538,4,43542
294,43567,108,43675
295,43684,36,43720
296,43821,94,43915
297,44094,24,44118
298,44124,20,44144
299,44328,60,44388
300,44448,39,44487
301,44551,51,44602
302,44827,16,44843
303,44856,75,44931
304,44941,8,44949
305,45033,80,45113
306,45386,58,45444
307,45465,192,45657
308,45672,8,45680
309,45811,31,45842
310,45971,20,45991
311,46008,30,46038
312,46044,80,46124
313,46253,27,46280
314,46308,45,46353
315,46417,22,46439
316,46719,46,46765
317,46915,102,47017
318,47033,2,47035
319,47256,48,47304
320,47305,9,47314
321,47319,40,47359
322,47516,4,47520
323,47598,22,47620
324,47627,55,47682
325,47689,195,47884
326,47909,27,47936
327,47938,20,47958
328,48025,11,48036
329,48110,78,48188
330,48264,2,48266
331,48290,84,48374
332,48482,6,48488
333,48495,107,48602
334,48659,33,48692
335,48737,26,48763
336,48771,120,48891
337,48923,24,48947
338,48949,8,48957
339,48989,18,49007
340,49015,30,49045
341,49125,18,49143
342,49152,7,49159
343,49210,75,49285
344,49328,79,49407
345,49577,3,49580
346,49957,13,49970
347,49995,8,50003
348,50121,111,50232
349,50239,8,50247
350,50376,62,50438
351,50443,55,50498
352,50509,161,50670
353,50717,1,50718
354,50966,4,50970
355,51077,61,51138
356,51287,7,51294
357,51361,24,51385
358,51666,82,51748
359,51817,90,51907
360,52035,60,52095
361,52162,39,52201
362,52547,80,52627
363,52722,29,52751
364,52785,43,52828
365,52859,57,52916
366,53062,45,53107
367,53398,119,53517
368,53682,8,53690
369,53702,31,53733
370,53752,185,53937
371,54015,8,54023
372,54086,86,54172
373,54233,62,54295
374,54388,11,54399
375,54409,71,54480
376,54527,24,54551
377,54656,52,54708
378,54942,64,55006
379,55012,22,55034
380,55082,32,55114
381,55220,13,55233
382,55306,46,55352
383,55505,93,55598
384,55620,30,55650
385,55818,62,55880
386,55901,12,55913
387,56073,58,56131
388,56184,8,56192
389,56370,8,56378
390,56433,13,56446
391,56466,12,56478
392,56495,105,56600
393,56884,71,56955
394,56977,17,56994
395,56995,116,57111
396,57163,8,57171
397,57294,52,57346
398,57439,16,57455
399,57510,5,57515
400,57926,88,58014
401,58100,8,58108
402,58169,195,58364
403,58372,40,58412
404,58450,105,58555
405,58914,58,58972
406,59047,49,59096
407,59263,6,59269
408,59271,6,59277
409,59287,4,59291
410,59331,79,59410
411,59492,70,59562
412,59758,27,59785
413,59867,81,59948
414,59980,107,60087
415,60112,88,60200
416,60403,34,60437
417,60534,73,60607
418,60660,16,60676
419,60892,59,60951
420,60979,29,61008
421,61176,5,61181
422,61458,128,61586
423,61824,96,61920
424,61941,55,61996
425,62223,19,62242
426,62309,6,62315
427,62591,87,62678
428,62757,4,62761
429,62774,227,63001
430,63098,74,63172
431,63176,14,63190
432,63307,203,63510
433,63515,21,63536
434,63659,90,63749
435,63891,1,63892
436,64045,200,64245
437,64316,49,64365
438,64397,6,64403
439,64585,40,64625
440,64823,43,64866
441,64968,21,64989
442,65123,139,65262
443,65297,8,65305
444,65466,56,65522
445,65827,40,65867
446,66042,37,66079
447,66089,110,66199
448,66250,76,66326
449,66439,7,66446
450,66471,73,66544
451,66842,37,66879
452,67012,31,67043
453,67055,1,67056
454,67153,63,67216
455,67226,190,67416
456,67417,16,67433
457,67675,16,67691
458,67724,29,67753
459,68054,38,68092
460,68119,23,68142
461,68162,16,68178
462,68372,133,68505
463,68557,82,68639
464,68777,6,68783
465,68908,4,68912
466,69036,10,69046
467,69088,66,69154
468,69234,3,69237
469,69262,10,69272
470,69275,25,69300
471,69302,25,69327
472,69363,24,69387
473,69597,42,69639
474,69645,61,69706
475,70029,70,70099
476,70202,158,70360
477,70391,42,70433
478,70528,10,70538
479,70689,188,70877
480,71047,39,71086
481,71310,18,71328
482,71354,21,71375
483,71414,17,71431
484,71447,55,71502
485,71546,41,71587
486,71931,26,71957
487,72038,123,72161
488,72262,58,72320
489,72357,75,72432
490,72551,6,72557
491,72574,10,72584
492,72760,36,72796
493,72808,94,72902
494,72945,29,72974
495,72987,33,73020
496,73122,2,73124
497,73147,61,73208
498,73992,35,74027
499,74101,133,74234
500,74262,110,74372
501,74389,25,74414
502,74423,128,74551
503,74601,34,74635
504,74948,18,74966
505,75057,29,75086
506,75108,55,75163
507,75235,48,75283
508,75520,46,75566
509,75826,9,75835
510,75977,85,76062
511,76282,56,76338
512,76406,100,76506
513,76530,3,76533
514,76557,64,76621
515,76756,93,76849
516,76878,19,76897
517,76964,91,77055
518,77063,79,77142
519,77219,21,77240
520,77333,36,77369
521,77570,30,77600
522,77698,101,77799
523,77820,157,77977
524,78004,66,78070
525,78148,50,78198
526,78370,23,78393
527,78493,3,78496
528,78904,6,78910
529,78930,76,79006
530,79014,10,79024
531,79112,66,79178
532,79209,116,79325
533,79329,7,79336
534,79346,10,79356
535,79452,282,79734
536,79848,2,79850
537,80104,34,80138
538,80244,36,80280
539,80347,53,80400
540,80462,7,80469
541,80553,22,80575
542,80602,90,80692
543,80741,9,80750
544,80751,29,80780
545,80853,110,80963
546,80969,3,80972
547,81133,11,81144
548,81272,90,81362
549,81571,3,81574
550,81620,70,81690
551,82059,23,82082
552,82411,6,82417
553,82544,28,82572
554,82629,7,82636
555,82795,216,83011
556,83109,50,83159
557,83395,96,83491
558,83555,61,83616
559,83699,84,83783
560,83789,12,83801
561,83827,19,83846
562,83857,33,83890
563,84100,138,84238
564,84274,64,84338
565,84391,30,84421
566,84490,5,84495
567,84606,74,84680
568,84837,109,84946
569,84947,36,84983
570,85027,21,85048
571,85201,78,85279
572,85323,1,85324
573,85473,118,85591
574,85746,46,85792
575,85803,98,85901
576,86059,96,86155
577,86521,1,86522
578,86698,201,86899
579,87086,46,87132
580,87137,49,87186
581,87187,96,87283
582,87382,129,87511
583,87597,103,87700
584,87877,93,87970
585,88052,32,88084
586,88251,3,88254
587,88465,17,88482
588,88770,21,88791
589,88838,266,89104
590,89143,38,89181
591,89383,54,89437
592,89468,1,89469
593,89494,35,89529
594,89695,104,89799
595,89853,40,89893
596,89920,22,89942
597,90006,44,90050
598,90073,5,90078
599,90111,10,90121
600,90396,21,90417
601,90488,47,90535
602,90635,32,90667
603,90892,62,90954
604,90997,14,91011
605,91076,125,91201
606,91205,68,91273
607,91445,18,91463
608,91685,4,91689
609,91780,79,91859
610,91881,74,91955
611,92046,57,92103
612,92234,25,92259
613,92329,95,92424
614,92426,29,92455
615,92622,26,92648
616,92705,66,92771
617,92876,13,92889
618,92941,2,92943
619,93097,26,93123
620,93259,89,93348
621,93567,7,93574
622,93588,62,93650
623,93700,50,93750
624,93773,20,93793
625,93995,59,94054
626,94081,20,94101
627,94141,39,94180
628,94217,146,94363
629,94669,10,94679
630,94701,33,94734
631,94796,184,94980
632,95214,34,95248
633,95270,57,95327
634,95883,218,96101
635,96154,82,96236
636,96275,6,96281
637,96310,153,96463
638,96471,45,96516
639,96525,118,96643
640,96815,57,96872
641,96931,58,96989
642,97001,19,97020
643,97296,15,97311
644,97358,28,97386
645,97521,108,97629
646,97681,145,97826
647,98154,75,98229
648,98238,12,98250
649,98422,58,98480
650,98581,4,98585
651,98774,47,98821
652,98902,14,98916
653,98925,69,98994
654,99078,14,99092
655,99254,26,99280
656,99489,85,99574
657,99620,26,99646
658,99661,158,99819
659,99832,8,99840
660,99989,6,99995
661,100016,62,100078
662,100170,108,100278
663,100327,32,100359
664,100430,27,100457
665,100546,1,100547
666,100551,60,100611
667,100831,15,100846
668,100882,89,100971
669,101004,147,101151
670,101255,39,101294
671,101474,70,101544
672,101561,106,101667
673,101765,3,101768
674,101771,22,101793
675,101824,56,101880
676,101930,55,101985
677,102055,116,102171
678,102331,48,102379
679,102705,5,102710
