,x,SuccessRate,PER,RedundancyUsed
0,1e-05,1.0,0.0,199.95
1,1.0473222288188954e-05,1.0,0.0,199.95
2,1.0968838509781766e-05,1.0,0.0,199.95
3,1.148790839561917e-05,1.0,0.0,199.95
4,1.2031541825367171e-05,1.0,0.0,199.95
5,1.2600901200671308e-05,1.0,0.0,199.95
6,1.3197203930613743e-05,1.0,0.0,199.95
7,1.3821725034787874e-05,1.0,0.0,199.95
8,1.447579986955596e-05,1.0,0.0,199.95
9,1.5160826983319593e-05,1.0,0.0,199.95
10,1.587827110690793e-05,1.0,0.0,199.95
11,1.662966628547748e-05,1.0,0.0,199.95
12,1.7416619158620716e-05,1.0,0.0,199.95
13,1.824081239569649e-05,1.0,0.0,199.95
14,1.9104008293728184e-05,1.0,0.0,199.95
15,2.0008052545562064e-05,1.0,0.0,199.95
16,2.0954878186343635e-05,1.0,0.0,199.95
17,2.1946509726749826e-05,1.0,0.0,199.95
18,2.2985067481815194e-05,1.0,0.0,199.95
19,2.4072772104607408e-05,1.0,0.0,199.95
20,2.5211949334446713e-05,1.0,0.0,199.95
21,2.64050349698218e-05,1.0,0.0,199.95
22,2.765458007663464e-05,1.0,0.0,199.95
23,2.8963256442911614e-05,1.0,0.0,199.95
24,3.033386229164336e-05,1.0,0.0,199.95
25,3.176932826396937e-05,1.0,0.0,199.95
26,3.3272723685499536e-05,1.0,0.0,199.95
27,3.484726312917256e-05,1.0,0.0,199.95
28,3.649631328868352e-05,1.0,0.0,199.95
29,3.82234001771767e-05,1.0,0.0,199.95
30,4.003221666659726e-05,1.0,0.0,199.95
31,4.192663038382149e-05,1.0,0.0,199.95
32,4.391069198044995e-05,1.0,0.0,199.95
33,4.598864379394484e-05,1.0,0.0,199.95
34,4.816492891863247e-05,1.0,0.0,199.95
35,5.044420070596583e-05,0.13,0.87025,199.85
36,5.2831332714359837e-05,1.0,0.0,199.95
37,5.533142912987597e-05,0.65,0.348125,199.95
38,5.794983568003634e-05,1.0,0.0,199.95
39,6.069215106410441e-05,1.0,0.0,199.95
40,6.356423892427093e-05,1.0,0.0,199.95
41,6.657224038334409e-05,1.0,0.0,199.95
42,6.97225871757512e-05,1.0,0.0,199.95
43,7.302201539992749e-05,1.0,0.0,199.95
44,7.647757992149977e-05,1.0,0.0,199.95
45,8.009666945806018e-05,1.0,0.0,199.95
46,8.388702237778594e-05,1.0,0.0,199.95
47,8.785674324568332e-05,0.96,0.04125,198.9
48,9.201432015283831e-05,0.87,0.12925,199.7
49,9.636864286572604e-05,1.0,0.0,199.95
50,0.00010092902183438434,1.0,0.0,199.95
51,0.00010570520810009837,1.0,0.0,199.95
52,0.00011070741414516007,1.0,0.0,199.95
53,0.00011594633572928544,1.0,0.0,199.95
54,0.00012143317475937916,1.0,0.0,199.95
55,0.0001271796632415473,1.0,0.0,199.95
56,0.00013319808836657372,1.0,0.0,199.95
57,0.0001395013187824962,1.0,0.0,199.95
58,0.00014610283211045916,1.0,0.0,199.95
59,0.0001530167437626788,1.0,0.0,199.95
60,0.00016025783712413842,0.56,0.446875,197.2
61,0.00016784159516254819,1.0,0.0,199.95
62,0.00017578423353415852,1.0,0.0,199.95
