,SF,BW,FSize,Duration
0,7.0,250000.0,10.0,0.03136
1,7.0,250000.0,20.0,0.049792
2,7.0,250000.0,30.0,0.06822399999999999
3,7.0,250000.0,40.0,0.08051199999999999
4,7.0,250000.0,50.0,0.09894399999999999
5,7.0,250000.0,60.0,0.117376
6,7.0,250000.0,70.0,0.13580799999999998
7,7.0,250000.0,80.0,0.15424
8,7.0,250000.0,90.0,0.172672
9,7.0,250000.0,100.0,0.191104
10,7.0,250000.0,110.0,0.203392
11,7.0,250000.0,120.0,0.221824
12,7.0,250000.0,130.0,0.240256
13,7.0,250000.0,140.0,0.25868800000000003
14,8.0,250000.0,10.0,0.050432
15,8.0,250000.0,20.0,0.087296
16,8.0,250000.0,30.0,0.111872
17,8.0,250000.0,40.0,0.14873599999999998
18,8.0,250000.0,50.0,0.173312
19,8.0,250000.0,60.0,0.21017599999999997
20,8.0,250000.0,70.0,0.234752
21,8.0,250000.0,80.0,0.27161599999999997
22,8.0,250000.0,90.0,0.29619199999999996
23,8.0,250000.0,100.0,0.33305599999999996
24,8.0,250000.0,110.0,0.35763199999999995
25,8.0,250000.0,120.0,0.39449599999999996
26,8.0,250000.0,130.0,0.419072
27,8.0,250000.0,140.0,0.45593599999999995
28,9.0,250000.0,10.0,0.100864
29,9.0,250000.0,20.0,0.150016
30,9.0,250000.0,30.0,0.199168
31,9.0,250000.0,40.0,0.27289599999999997
32,9.0,250000.0,50.0,0.32204799999999995
33,9.0,250000.0,60.0,0.3712
34,9.0,250000.0,70.0,0.42035199999999995
35,9.0,250000.0,80.0,0.469504
36,9.0,250000.0,90.0,0.5432319999999999
37,9.0,250000.0,100.0,0.5923839999999999
38,9.0,250000.0,110.0,0.641536
39,9.0,250000.0,120.0,0.690688
40,9.0,250000.0,130.0,0.764416
41,9.0,250000.0,140.0,0.813568
42,10.0,250000.0,10.0,0.201728
43,10.0,250000.0,20.0,0.300032
44,10.0,250000.0,30.0,0.398336
45,10.0,250000.0,40.0,0.49664
46,10.0,250000.0,50.0,0.5949439999999999
47,10.0,250000.0,60.0,0.693248
48,10.0,250000.0,70.0,0.7915519999999999
49,10.0,250000.0,80.0,0.889856
50,10.0,250000.0,90.0,0.9881599999999999
51,10.0,250000.0,100.0,1.0864639999999999
52,10.0,250000.0,110.0,1.1847679999999998
53,10.0,250000.0,120.0,1.283072
54,10.0,250000.0,130.0,1.381376
55,10.0,250000.0,140.0,1.4796799999999999
56,11.0,250000.0,10.0,0.305152
57,11.0,250000.0,20.0,0.50176
58,11.0,250000.0,30.0,0.698368
59,11.0,250000.0,40.0,0.894976
60,11.0,250000.0,50.0,1.0915839999999999
61,11.0,250000.0,60.0,1.1898879999999998
62,11.0,250000.0,70.0,1.386496
63,11.0,250000.0,80.0,1.5831039999999998
64,11.0,250000.0,90.0,1.779712
65,11.0,250000.0,100.0,1.9763199999999999
66,11.0,250000.0,110.0,2.074624
67,11.0,250000.0,120.0,2.271232
68,11.0,250000.0,130.0,2.46784
69,11.0,250000.0,140.0,2.6644479999999997
70,12.0,250000.0,10.0,0.610304
71,12.0,250000.0,20.0,1.00352
72,12.0,250000.0,30.0,1.200128
73,12.0,250000.0,40.0,1.593344
74,12.0,250000.0,50.0,1.98656
75,12.0,250000.0,60.0,2.1831679999999998
76,12.0,250000.0,70.0,2.5763839999999996
77,12.0,250000.0,80.0,2.9696
78,12.0,250000.0,90.0,3.1662079999999997
79,12.0,250000.0,100.0,3.559424
80,12.0,250000.0,110.0,3.9526399999999997
81,12.0,250000.0,120.0,4.149248
82,12.0,250000.0,130.0,4.542464
83,12.0,250000.0,140.0,4.93568
